k,precision_directed,precision_undirected
311,0.03215434083601286,0.03215434083601286
312,0.03205128205128205,0.03205128205128205
313,0.03194888178913738,0.03194888178913738
314,0.03184713375796178,0.03184713375796178
315,0.031746031746031744,0.031746031746031744
316,0.03164556962025317,0.03164556962025317
317,0.031545741324921134,0.031545741324921134
318,0.031446540880503145,0.031446540880503145
319,0.03134796238244514,0.03134796238244514
320,0.03125,0.03125
321,0.03115264797507788,0.03115264797507788
322,0.031055900621118012,0.031055900621118012
323,0.030959752321981424,0.030959752321981424
324,0.030864197530864196,0.030864197530864196
325,0.03076923076923077,0.03076923076923077
326,0.03374233128834356,0.03374233128834356
327,0.03363914373088685,0.03363914373088685
328,0.03353658536585366,0.03353658536585366
329,0.0364741641337386,0.0364741641337386
330,0.03636363636363636,0.03636363636363636
331,0.03625377643504532,0.03625377643504532
332,0.03614457831325301,0.03614457831325301
333,0.036036036036036036,0.036036036036036036
334,0.03592814371257485,0.03592814371257485
335,0.03582089552238806,0.03582089552238806
336,0.03571428571428571,0.03571428571428571
337,0.03560830860534125,0.03560830860534125
338,0.03550295857988166,0.03550295857988166
339,0.035398230088495575,0.035398230088495575
340,0.03529411764705882,0.03529411764705882
341,0.03519061583577713,0.03519061583577713
342,0.03508771929824561,0.03508771929824561
343,0.03498542274052478,0.03498542274052478
344,0.03488372093023256,0.03488372093023256
345,0.034782608695652174,0.034782608695652174
346,0.03468208092485549,0.03468208092485549
347,0.0345821325648415,0.0345821325648415
348,0.034482758620689655,0.034482758620689655
349,0.034383954154727794,0.034383954154727794
350,0.03428571428571429,0.03428571428571429
351,0.03418803418803419,0.03418803418803419
352,0.03409090909090909,0.03409090909090909
353,0.0339943342776204,0.0339943342776204
354,0.03389830508474576,0.03389830508474576
355,0.03380281690140845,0.03380281690140845
356,0.033707865168539325,0.033707865168539325
357,0.03361344537815126,0.03361344537815126
358,0.0335195530726257,0.0335195530726257
359,0.033426183844011144,0.036211699164345405
360,0.03333333333333333,0.03611111111111111
361,0.0332409972299169,0.036011080332409975
362,0.03314917127071823,0.03591160220994475
363,0.03305785123966942,0.03581267217630854
364,0.03296703296703297,0.03571428571428571
365,0.03287671232876712,0.03561643835616438
366,0.03278688524590164,0.03551912568306011
367,0.0326975476839237,0.035422343324250684
368,0.03260869565217391,0.035326086956521736
369,0.032520325203252036,0.03523035230352303
370,0.032432432432432434,0.03513513513513514
371,0.03234501347708895,0.03504043126684636
372,0.03225806451612903,0.03494623655913978
373,0.032171581769437,0.03485254691689008
374,0.03208556149732621,0.034759358288770054
375,0.034666666666666665,0.037333333333333336
376,0.034574468085106384,0.03723404255319149
377,0.034482758620689655,0.03713527851458886
378,0.03439153439153439,0.037037037037037035
379,0.03430079155672823,0.036939313984168866
380,0.034210526315789476,0.03684210526315789
381,0.03412073490813648,0.03674540682414698
382,0.034031413612565446,0.03664921465968586
383,0.033942558746736295,0.03655352480417755
384,0.033854166666666664,0.036458333333333336
385,0.033766233766233764,0.03636363636363636
386,0.03367875647668394,0.03626943005181347
387,0.03359173126614987,0.03617571059431524
388,0.03350515463917526,0.03608247422680412
389,0.033419023136246784,0.03598971722365039
390,0.03333333333333333,0.035897435897435895
391,0.03324808184143223,0.03580562659846547
392,0.03316326530612245,0.03571428571428571
393,0.03307888040712468,0.035623409669211195
394,0.03553299492385787,0.03807106598984772
395,0.035443037974683546,0.0379746835443038
396,0.03535353535353535,0.03787878787878788
397,0.03526448362720403,0.037783375314861464
398,0.035175879396984924,0.03768844221105527
399,0.03508771929824561,0.03759398496240601
400,0.035,0.0375
401,0.034912718204488775,0.03740648379052369
402,0.03482587064676617,0.03731343283582089
403,0.034739454094292806,0.03722084367245657
404,0.034653465346534656,0.03712871287128713
405,0.0345679012345679,0.037037037037037035
406,0.034482758620689655,0.03694581280788178
407,0.0343980343980344,0.036855036855036855
408,0.03431372549019608,0.03676470588235294
409,0.034229828850855744,0.03667481662591687
410,0.03414634146341464,0.036585365853658534
411,0.0364963503649635,0.038929440389294405
412,0.03640776699029126,0.038834951456310676
413,0.03631961259079903,0.0387409200968523
414,0.036231884057971016,0.03864734299516908
415,0.03614457831325301,0.03855421686746988
416,0.036057692307692304,0.038461538461538464
417,0.03597122302158273,0.03836930455635491
418,0.03588516746411483,0.03827751196172249
419,0.03579952267303103,0.03818615751789976
420,0.03571428571428571,0.0380952380952381
421,0.035629453681710214,0.03800475059382423
422,0.035545023696682464,0.037914691943127965
423,0.03546099290780142,0.037825059101654845
424,0.03537735849056604,0.03773584905660377
425,0.03529411764705882,0.03764705882352941
426,0.035211267605633804,0.03755868544600939
427,0.0351288056206089,0.03747072599531616
428,0.035046728971962614,0.037383177570093455
429,0.03496503496503497,0.037296037296037296
430,0.03488372093023256,0.037209302325581395
431,0.03480278422273782,0.037122969837587005
432,0.034722222222222224,0.037037037037037035
433,0.03464203233256351,0.03695150115473441
434,0.03456221198156682,0.03686635944700461
435,0.034482758620689655,0.0367816091954023
436,0.034403669724770644,0.03669724770642202
437,0.034324942791762014,0.036613272311212815
438,0.03424657534246575,0.0365296803652968
439,0.03416856492027335,0.03644646924829157
440,0.03409090909090909,0.03636363636363636
441,0.034013605442176874,0.036281179138321996
442,0.033936651583710405,0.03619909502262444
443,0.033860045146726865,0.03611738148984198
444,0.033783783783783786,0.036036036036036036
445,0.033707865168539325,0.035955056179775284
446,0.033632286995515695,0.03587443946188341
447,0.03355704697986577,0.035794183445190156
448,0.033482142857142856,0.03571428571428571
449,0.0334075723830735,0.035634743875278395
450,0.03333333333333333,0.035555555555555556
451,0.03547671840354767,0.037694013303769404
452,0.035398230088495575,0.03761061946902655
453,0.03532008830022075,0.037527593818984545
454,0.03524229074889868,0.037444933920704845
455,0.035164835164835165,0.03736263736263736
456,0.03508771929824561,0.03728070175438596
457,0.0350109409190372,0.037199124726477024
458,0.034934497816593885,0.03711790393013101
459,0.034858387799564274,0.037037037037037035
460,0.034782608695652174,0.03695652173913044
461,0.03470715835140998,0.0368763557483731
462,0.03463203463203463,0.0367965367965368
463,0.03455723542116631,0.0367170626349892
464,0.034482758620689655,0.036637931034482756
465,0.034408602150537634,0.03655913978494624
466,0.03648068669527897,0.03862660944206009
467,0.03854389721627409,0.04068522483940043
468,0.0405982905982906,0.042735042735042736
469,0.04051172707889126,0.042643923240938165
470,0.04042553191489362,0.0425531914893617
471,0.040339702760084924,0.04246284501061571
472,0.04025423728813559,0.0423728813559322
473,0.040169133192389,0.042283298097251586
474,0.04008438818565401,0.04219409282700422
475,0.04,0.042105263157894736
476,0.03991596638655462,0.04201680672268908
477,0.039832285115303984,0.041928721174004195
478,0.0397489539748954,0.04184100418410042
479,0.03966597077244259,0.04175365344467641
480,0.03958333333333333,0.041666666666666664
481,0.0395010395010395,0.04158004158004158
482,0.03941908713692946,0.04149377593360996
483,0.039337474120082816,0.041407867494824016
484,0.03925619834710744,0.04132231404958678
485,0.041237113402061855,0.04329896907216495
486,0.0411522633744856,0.043209876543209874
487,0.04106776180698152,0.043121149897330596
488,0.040983606557377046,0.0430327868852459
489,0.0408997955010225,0.04294478527607362
490,0.04081632653061224,0.04285714285714286
491,0.04073319755600815,0.04276985743380855
492,0.04065040650406504,0.042682926829268296
493,0.04056795131845842,0.04259634888438134
494,0.04048582995951417,0.04251012145748988
495,0.04040404040404041,0.04242424242424243
496,0.04032258064516129,0.04233870967741935
497,0.04225352112676056,0.04426559356136821
498,0.04216867469879518,0.04417670682730924
499,0.04208416833667335,0.04408817635270541
500,0.042,0.044
501,0.041916167664670656,0.043912175648702596
502,0.04183266932270916,0.043824701195219126
503,0.041749502982107355,0.0437375745526839
504,0.041666666666666664,0.04365079365079365
505,0.041584158415841586,0.04356435643564356
506,0.041501976284584984,0.043478260869565216
507,0.04142011834319527,0.04339250493096647
508,0.04133858267716536,0.04330708661417323
509,0.0412573673870334,0.043222003929273084
510,0.041176470588235294,0.043137254901960784
511,0.0410958904109589,0.043052837573385516
512,0.041015625,0.04296875
513,0.04093567251461988,0.042884990253411304
514,0.04085603112840467,0.042801556420233464
515,0.040776699029126215,0.04271844660194175
516,0.040697674418604654,0.04263565891472868
517,0.04061895551257253,0.0425531914893617
518,0.04247104247104247,0.0444015444015444
519,0.04238921001926782,0.04431599229287091
520,0.04230769230769231,0.04423076923076923
521,0.04222648752399232,0.044145873320537425
522,0.0421455938697318,0.044061302681992334
523,0.04206500956022945,0.04397705544933078
524,0.04198473282442748,0.04389312977099236
525,0.0419047619047619,0.04380952380952381
526,0.04182509505703422,0.043726235741444866
527,0.04174573055028463,0.04364326375711575
528,0.041666666666666664,0.043560606060606064
529,0.04158790170132325,0.043478260869565216
